Título,Evento,Institución anfitriona,País (Anfitrión),Institución organizadora,País (Organizador),Fecha,Tipo,Online,URL
Collingwood y Wittgenstein: examen a los límites del conocimiento.,"II Congreso Colombiano de Lógica, Epistemología, y Filosofía de la Ciencia","Universidad del Rosario, Universidad de los Andes","Colombia, Colombia",,,2012-02-15,Ponencia,false,
La introspección en la psicología de William James: una lectura fenomenológica.,I Congreso Colombiano de Estudiantes de Filosofía,Universidad del Valle,Colombia,,,2013-09-12,Ponencia,false,
De la fisiología a las expresiones: anotaciones desde Wittgenstein sobre la atribución de emociones.,III Jornada de Filosofía,Universidad El Bosque,Colombia,,,2013-11-15,Charla invitada,false,
"Descartes, James, y Prinz: reconstrucción racional de la naturalización de las emociones.","III Congreso Colombiano de Lógica, Epistemología, y Filosofía de la Ciencia","Universidad del Rosario, Universidad de los Andes","Colombia, Colombia",,,2014-02-13,Ponencia,false,
La naturalización de las emociones: dos confusiones gramaticales,V Congreso Colombiano de Filosofía,Universidad de Antioquia,Colombia,Sociedad Colombiana de Filosofía,Colombia,2014-07-30,Ponencia,false,
Una lectura del hombre de Molyneux en el Ensayo de una Nueva Teoría de la Visión de Berkeley (with Nicolás Montenegro).,IX Encuentro de Filosofía e Historia de la Ciencia del Cono Sur,Universidad Nacional de Córdoba,Argentina,Asociación de Filosofía e Historia de la Ciencia del Cono Sur,,2014-09-16,Ponencia,false,
Blurring the lines between the natural sciences and the humanities: a case study on the research on emotions.,DAAD Stipendiatentreffen (Geistes- und Kulturwissenschaften),Universität Jena,Alemania,Deutscher Akademischer Austauschdienst,Alemania,2015-03-21,Ponencia,false,
Analogías entre la gramática del color y la gramática de las emociones.,"IV Congreso Colombiano de Lógica, Epistemología, y Filosofía de la Ciencia","Universidad del Rosario, Universidad de los Andes","Colombia, Colombia",,,2016-02-18,Ponencia,false,
Bridging the gap between philosophy and science (Workshop),IX Cracow Cognitive Science Conference,Jagiellonian University,Polonia,,,2017-04-22,Charla invitada,false,
Emotions are not dead,European Society for Philosophy and Psychology Conference,University of Hertfordshire,Reino Unido,European Society for Philosophy and Psychology,,2017-08-17,Poster,false,
Backtracking natural kinds,9th European Congress of Analytic Philosophy,Ludwig-Maximilians-Universität München,Alemania,European Society for Analytic Philosophy,,2017-08-23,Ponencia,false,
"Explication, elimination, and modelling: what to do with folk concepts?",Analysis and explication – traditional and contemporary approaches (Workshop),Heinrich-Heine Universität Düsseldorf,Alemania,,,2017-10-21,Ponencia,false,
Non-human animal emotions and emotion kinds,"V Congreso de la Asociación Latinoamericana de Filosofía Analítica & V Congreso Colombiano de Lógica, Epistemología y Filosofía de la Ciencia","Universidad del Rosario, Universidad de los Andes","Colombia, Colombia",Asociación Latinoamericana de Filosofía Analítica,,2018-05-17,Ponencia,false,
¿Qué puede decir la ciencia sobre las emociones? Entre el naturalismo y el construccionismo.,Seminario de Filosofía de la Mente y Ciencia Cognitiva,Pontificia Universidad Javeriana,Colombia,,,2018-10-05,Charla invitada,false,
Can functionalism save emotions from elimination?,"IX Congreso de la Sociedad Española de Lógica, Metodología y Filosofía de la Ciencia",Universidad Nacional de Educación a Distancia,España,,,2018-11-15,Ponencia,false,
The role of folk-psychology in the emotion kinds debate,Emotions and Emotion Concepts Conference,Universität Bern,Suiza,,,2018-11-29,Ponencia,false,
Non-human animal emotions and emotion kinds,Workshop: Emotions and the arts,Sociedad Argentina de Análisis Filosófico,Argentina,,,2019-05-16,Charla invitada,false,
Emotions and the problem of variability,European Philosophical Society for the Study of the Emotions (EPSSE),Università di Pisa,Italia,European Philosophical Society for the Study of the Emotions,,2019-06-11,Ponencia,false,
Sesgo implícito y segunda persona,Simposio: Intersubjetividad y Segunda Persona,Pontificia Universidad Javeriana,Colombia,,,2020-02-20,Ponencia,false,
"Sesgo implícito, externalismo y segunda persona",Cátedra Interuniversitaria de Filosofía,"Universidad del Rosario, Universidad El Bosque, Corporación Universitaria Minuto de Dios, Universidad Agustiniana, Universidad de la Sabana, Universidad San Buenaventura","Colombia, Colombia, Colombia, Colombia, Colombia, Colombia",,,2020-09-04,Charla invitada,true,
What does universality of emotional expression tell us about emotion?,"""The Science(s) of the Face"" Webinar Series",Università degli Studi di Torino,Italia,,,2020-12-14,Charla invitada,true,https://www.youtube.com/watch?v=93beq2qyDQ8
Expresiones faciales y el problema de la universalidad,"VI Ciclo de Conferencias ""Emociones y afectividad: una mirada interdisciplinaria"" (SUAFEM – UNAM)",Universidad Nacional Autónoma de México,México,,,2021-05-27,Charla invitada,true,https://www.youtube.com/watch?v=T4Eh6TTNb3A
Controversias en torno a los conceptos cotidianos y conceptos científicos de emoción,XII Encuentro de Filosofía e Historia de la Ciencia del Cono Sur (AFHIC),Universidad del Valle,Colombia,,,2022-08-03,Ponencia,false,
Categorías sociales en modo funcionalista,VI Congreso de la Asociación Latinoamericana de Filosofía Analítica (ALFAn),Universidad Alberto Hurtado,Chile,Asociación Latinoamericana de Filosofía Analítica,,2022-08-23,Ponencia,false,
¿Por qué no es fácil hablar de variabilidad cultural sobre las emociones?,Serie de charlas virtuales – Red Iberoamericana de Filosofía de la Mente (UNAM),Universidad Nacional Autónoma de México,México,,,2022-10-07,Charla invitada,true,https://www.youtube.com/watch?v=blnMwXXH_-U
Categorías sociales en modo funcionalista,VIII Congreso Colombiano de Filosofía,Universidad de Nariño,Colombia,,,2022-11-17,Ponencia,false,
Hipótesis en torno a la variabilidad cultural de las emociones,IX Coloquio de Lenguaje y Cognición,Universidad de Chile,Chile,,,2023-05-01,Ponencia,true,
"The ontology, epistemology, and politics of folk emotion concepts in the science of emotion",EPSSE 10 Pre-conference Workshop,"Universidad de Tartu, European Philosophical Society for the Study of the Emotions","Estonia, ",European Philosophical Society for the Study of the Emotions,,2023-06-01,Charla invitada,false,
La construcción social de la ciencia de la emoción,Workshop: Ontología Social en América Latina,Pontificia Universidad Javeriana,Colombia,,,2023-09-20,Charla invitada,false,
Anglocentrismo en la ciencia de las emociones,Workshop: Emociones y comprensión,Universidad Alberto Hurtado,Chile,,,2023-11-01,Ponencia,false,
"La ontología, epistemología y política de los conceptos cotidianos y científicos de emoción",11º Colóquio Internacional de Filosofia da Mente - “A mente afetiva”,Faculdade Jesuíta de Filosofia e Teologia,Brasil,,,2023-11-01,Charla invitada,false,
Anglocentrism in emotion science: epistemological and practical challenges,Symposium 'Philosophy of Emotions in Latin America' – 1st Annual Web Conference of the International Society for the Philosophy of the Sciences of the Mind,,,International Society for the Philosophy of the Sciences of the Mind,,2023-12-05,Ponencia,true,https://www.ispsmind.com/international-conference/
Conceptos cotidianos de emoción y  socioconstruccionismo externalista,VII Congreso de la Asociación Latinoamericana de Filosofía Analítica,"Universidad de la República, Asociación Latinoamericana de Filosofía Analítica","Uruguay, ",Asociación Latinoamericana de Filosofía Analítica,,2024-05-01,Ponencia,false,
Cómo (no) estudiar conceptos cotidianos de emoción,X Coloquio de Lenguaje y Cognición,Universidad de Concepción,Chile,,,2024-06-01,Ponencia,false,
Universalismo y relativismo sobre las emociones: un falso dilema,IX Congreso Colombiano de Filosofía,Universidad Pedagógica y Tecnológica de Colombia,Colombia,Sociedad Colombiana de Filosofía,Colombia,2024-09-01,Ponencia,false,
Conceptos cotidianos de emoción y externalismo semántico,IX Congreso Colombiano de Filosofía,"Universidad Pedagógica y Tecnológica de Colombia, Sociedad Colombiana de Filosofía","Colombia, Colombia",Sociedad Colombiana de Filosofía,Colombia,2024-09-01,Ponencia,false,
Emociones y variación cultural: la teoría del standpoint contra el relativismo,Workshop em Filosofia das Emoções,Universidade Federal de Lavras,Brasil,,,2024-11-01,Charla invitada,true,
